trait,organ,mye_logp,epi_logp,epi_minus_mye,epi_dom
AD,Brain,8.858308584211331,0.034208383296264494,-8.824100200915067,False
AD,BAT,8.045848191240045,3.3016246575987434,-4.744223533641302,False
AD,Bone_Marrow,9.288084799945866,,,False
AD,Heart,6.258989019912086,,,False
AD,Kidney,7.690533600098494,4.915778628838581,-2.774754971259913,False
AD,Liver,9.30728036248869,5.118002430901151,-4.189277931587539,False
AD,Lung,9.911223168897907,5.818037097052937,-4.09318607184497,False
AD,Muscle,9.417782689467108,,,False
AD,Spleen,6.809107681720595,,,False
AD,Stomach,5.73214997591887,1.8582953647393594,-3.8738546111795102,False
AD,Ileum,5.381557243547717,3.6010581715503904,-1.7804990719973266,False
AD,Colon,4.868518254306055,6.134767499049136,1.266249244743081,True
AD,Thymus,,,,False
AD,Pancreas,,,,False
AD,Skin,,,,False
PD,Brain,3.409237757337299,0.3721209207547277,-3.0371168365825714,False
PD,BAT,3.1991253594240194,2.12471599026694,-1.0744093691570793,False
PD,Bone_Marrow,1.9828658072320475,,,False
PD,Heart,1.3604852561238503,,,False
PD,Kidney,2.5969056634975236,3.025994537157994,0.4290888736604703,True
PD,Liver,2.3821150108952995,2.398485017401423,0.016370006506123413,True
PD,Lung,3.1614066174263185,4.230349487240761,1.0689428698144425,True
PD,Muscle,3.251679831133296,,,False
PD,Spleen,2.559761203224626,,,False
PD,Stomach,0.8847645022618646,2.277334972777486,1.3925704705156212,True
PD,Ileum,1.9462888263155158,3.413494430610793,1.467205604295277,True
PD,Colon,1.1570418826043463,3.116600808695285,1.9595589260909387,True
PD,Thymus,,,,False
PD,Pancreas,,,,False
PD,Skin,,,,False
ALS,Brain,4.777173406017362,0.14675052870524308,-4.630422877312119,False
ALS,BAT,4.070876631123804,4.064016452413905,-0.0068601787098989675,False
ALS,Bone_Marrow,5.0123182118867895,,,False
ALS,Heart,2.7139474310110447,,,False
ALS,Kidney,4.026113438722962,4.624256330510002,0.5981428917870408,True
ALS,Liver,5.460915901340139,3.9354767950838476,-1.5254391062562918,False
ALS,Lung,6.063596812320355,2.1370644358855553,-3.9265323764348,False
ALS,Muscle,5.240548990252996,,,False
ALS,Spleen,4.566026679657515,,,False
ALS,Stomach,3.0757931682487576,2.382558991068153,-0.6932341771806048,False
ALS,Ileum,3.4261160276553713,2.2151032218318236,-1.2110128058235476,False
ALS,Colon,2.7410683397930207,5.25177960512406,2.5107112653310395,True
ALS,Thymus,,,,False
ALS,Pancreas,,,,False
ALS,Skin,,,,False
MS,Brain,5.972298421865945,0.13003738390068686,-5.842261037965258,False
MS,BAT,6.049213434695354,3.473971622925721,-2.5752418117696334,False
MS,Bone_Marrow,5.521187422755747,,,False
MS,Heart,3.7709118206637364,,,False
MS,Kidney,4.4783935754727695,3.9670127104495845,-0.511380865023185,False
MS,Liver,5.720361823872123,3.7205122785692373,-1.9998495453028857,False
MS,Lung,6.466980667168433,4.242781382376942,-2.2241992847914913,False
MS,Muscle,6.827352696798044,,,False
MS,Spleen,4.727376190367869,,,False
MS,Stomach,3.505418110472385,2.972093873005087,-0.5333242374672982,False
MS,Ileum,5.610818009977212,3.0592189912148275,-2.5515990187623845,False
MS,Colon,3.40149049073291,5.12730901483639,1.72581852410348,True
MS,Thymus,,,,False
MS,Pancreas,,,,False
MS,Skin,,,,False
FTD,Brain,0.897057040255324,0.2802836339141584,-0.6167734063411656,False
FTD,BAT,0.7611515315141142,0.16304475367933458,-0.5981067778347796,False
