,EPCAM,KRT8,VIL1,CD68,CD14,AIF1,LYZ,TYROBP
PICALM,0.3059086501598358,0.28330889344215393,0.2914589047431946,0.18419581651687622,0.06648023426532745,0.053173333406448364,0.11979019641876221,0.03519875556230545
CD2AP,0.4985091984272003,0.46560347080230713,0.4103911519050598,0.14776299893856049,0.031399164348840714,-0.06745439767837524,0.08825219422578812,-0.07994312793016434
ADAM10,0.22477518022060394,0.20918846130371094,0.15487700700759888,0.05732181295752525,0.06437206268310547,0.0053316811099648476,0.1030459925532341,0.0054178060963749886
CR1,-0.11409541964530945,-0.10895763337612152,-0.08675628900527954,0.02360553666949272,0.04664957523345947,0.0653420016169548,0.010832848958671093,0.044888705015182495
APP,0.634777307510376,0.6142908334732056,0.4023233652114868,0.071320079267025,0.14813140034675598,-0.06368435174226761,0.18714839220046997,-0.10518309473991394
SORL1,0.2796194851398468,0.2462664246559143,0.26384907960891724,0.10920252650976181,0.008088918402791023,-0.02049381472170353,0.046211618930101395,-0.05053502321243286
PSEN1,0.24179348349571228,0.214804545044899,0.21632301807403564,0.11925359070301056,0.03200197219848633,0.0054474095813930035,0.05541229248046875,-0.0035647619515657425
