umap_1,umap_2,age,cell_type,Picalm,Adam10,App,Sorl1,Psen1
-9.639678,9.140574,0d,TA,0.0,0.0,3.0,2.0,2.0
-7.6669984,4.481246,0d,TA,0.0,0.0,1.0,0.0,1.0
2.8405867,15.44517,0d,Fibroblast,0.0,0.0,0.0,0.0,0.0
13.793491,12.117325,0d,Glia,0.0,1.0,3.0,0.0,0.0
-8.206439,5.285199,0d,TA,2.0,2.0,0.0,2.0,0.0
4.058408,16.367964,0d,Fibroblast,0.0,2.0,1.0,0.0,0.0
-7.390461,8.352121,0d,TA,1.0,2.0,0.0,0.0,2.0
-7.205059,6.904555,0d,TA,0.0,0.0,2.0,2.0,0.0
12.363946,11.200955,0d,Glia,1.0,5.0,2.0,1.0,0.0
4.4361095,9.174653,0d,Cycling,0.0,1.0,2.0,0.0,1.0
-7.5572267,5.01638,0d,TA,0.0,0.0,0.0,0.0,1.0
5.6081285,5.9657426,0d,Cycling,1.0,2.0,2.0,0.0,3.0
-7.4030833,4.8904033,0d,TA,4.0,0.0,1.0,2.0,1.0
4.797747,19.666094,0d,SMC,0.0,1.0,0.0,1.0,0.0
-8.591834,3.0352054,0d,TA,0.0,0.0,2.0,1.0,3.0
2.8398662,22.954805,0d,Mesothelial,0.0,0.0,0.0,0.0,0.0
-7.9308214,7.925381,0d,TA,1.0,1.0,0.0,1.0,1.0
-6.568196,7.32736,0d,Cycling,1.0,0.0,2.0,1.0,1.0
4.419881,17.139263,0d,SMC,0.0,0.0,0.0,0.0,0.0
2.73484,25.226692,0d,Mesothelial,1.0,1.0,4.0,0.0,1.0
-9.787139,6.558452,0d,TA,2.0,1.0,1.0,1.0,0.0
5.3413353,14.626354,0d,Fibroblast,0.0,1.0,1.0,0.0,1.0
10.418562,16.832386,0d,Lymphatic,0.0,0.0,0.0,1.0,1.0
2.720448,23.351835,0d,Mesothelial,0.0,0.0,0.0,0.0,0.0
2.8736122,24.216606,0d,Mesothelial,0.0,1.0,0.0,0.0,0.0
4.7458415,8.851424,0d,Cycling,2.0,1.0,3.0,1.0,2.0
1.1244459,8.643734,0d,TA,0.0,0.0,1.0,0.0,1.0
5.5289474,14.8672495,0d,Fibroblast,0.0,0.0,12.0,3.0,1.0
2.3140101,19.55091,0d,SMC,0.0,0.0,3.0,0.0,0.0
2.8364654,23.105886,0d,Mesothelial,0.0,2.0,1.0,0.0,0.0
4.3567443,11.236696,0d,Cycling,0.0,2.0,2.0,1.0,0.0
-3.4616137,14.194932,0d,Colonocyte,1.0,4.0,2.0,3.0,1.0
2.7526364,24.91421,0d,Mesothelial,0.0,0.0,3.0,0.0,0.0
0.8323283,4.9705124,0d,Stem,0.0,1.0,0.0,1.0,1.0
3.9383147,5.943561,0d,Cycling,0.0,0.0,0.0,0.0,0.0
5.0153246,8.084537,0d,Cycling,0.0,0.0,0.0,0.0,1.0
4.663911,16.883171,0d,SMC,0.0,1.0,2.0,0.0,0.0
-0.83093417,9.282846,0d,TA,0.0,1.0,1.0,3.0,0.0
1.4937779,8.428518,0d,TA,2.0,0.0,6.0,1.0,0.0
2.5760908,6.005984,0d,Cycling,0.0,2.0,1.0,1.0,1.0
12.541066,12.2329,0d,Glia,0.0,1.0,3.0,1.0,1.0
2.6245263,23.976856,0d,Mesothelial,0.0,4.0,3.0,0.0,0.0
2.5220642,25.303883,0d,Mesothelial,0.0,0.0,5.0,0.0,1.0
-9.135443,8.768619,0d,TA,1.0,0.0,3.0,0.0,1.0
2.6585648,15.724834,0d,Fibroblast,0.0,0.0,1.0,0.0,0.0
2.648528,24.290552,0d,Mesothelial,0.0,1.0,2.0,0.0,0.0
-4.547735,8.914113,0d,Cycling,0.0,0.0,0.0,0.0,1.0
4.7197285,10.62266,0d,Cycling,0.0,0.0,2.0,0.0,0.0
5.1064262,14.500059,0d,Fibroblast,2.0,1.0,1.0,0.0,0.0
4.8317184,20.019718,0d,SMC,0.0,0.0,0.0,0.0,0.0
2.9256728,15.558203,0d,Fibroblast,0.0,1.0,1.0,0.0,0.0
5.78439,14.150596,0d,Fibroblast,0.0,1.0,1.0,0.0,0.0
4.398009,8.578917,0d,Cycling,0.0,1.0,1.0,1.0,1.0
10.213862,16.582422,0d,Lymphatic,1.0,0.0,1.0,0.0,1.0
-0.45801765,13.126585,0d,Colonocyte,0.0,0.0,1.0,1.0,2.0
5.6089,8.103296,0d,Cycling,0.0,2.0,0.0,2.0,0.0
2.5280626,16.037,0d,Fibroblast,0.0,0.0,0.0,1.0,1.0
4.5187387,5.568343,0d,Cycling,1.0,0.0,3.0,0.0,3.0
-0.7156953,9.333749,0d,TA,1.0,2.0,1.0,1.0,2.0
3.0817227,4.876954,0d,Stem,0.0,1.0,3.0,0.0,0.0
4.699605,15.55269,0d,Fibroblast,0.0,0.0,0.0,0.0,1.0
4.3696003,8.685349,0d,Cycling,0.0,1.0,2.0,2.0,1.0
11.27206,7.6599584,0d,Neuron,1.0,0.0,5.0,0.0,0.0
-4.0859323,5.9981203,0d,TA,0.0,0.0,3.0,1.0,1.0
5.5901804,14.852423,0d,Fibroblast,0.0,1.0,3.0,0.0,0.0
3.8789408,9.320784,0d,Cycling,0.0,1.0,3.0,3.0,1.0
-9.033246,9.483749,0d,TA,2.0,2.0,2.0,6.0,4.0
12.529028,11.59513,0d,Glia,1.0,0.0,2.0,0.0,0.0
-7.256751,5.488465,0d,TA,1.0,0.0,0.0,0.0,1.0
4.822504,20.214935,0d,SMC,0.0,1.0,1.0,0.0,0.0
0.016131463,8.988721,0d,TA,2.0,0.0,1.0,4.0,1.0
4.851123,5.531269,0d,Cycling,1.0,0.0,0.0,1.0,2.0
3.8053927,7.427198,0d,Cycling,1.0,2.0,4.0,6.0,1.0
-0.37624118,-1.035613,0d,Enteroendocrine,0.0,0.0,1.0,0.0,0.0
5.4270067,16.023472,0d,Fibroblast,2.0,1.0,1.0,0.0,1.0
-8.436619,10.362856,0d,TA,0.0,1.0,2.0,0.0,1.0
2.7644079,24.280195,0d,Mesothelial,1.0,0.0,2.0,0.0,0.0
13.813632,12.163997,0d,Glia,0.0,0.0,0.0,0.0,1.0
5.6422677,14.034017,0d,Fibroblast,0.0,0.0,0.0,0.0,1.0
-9.059262,11.699119,0d,TA,0.0,2.0,3.0,2.0,0.0
3.423554,19.10979,0d,SMC,2.0,0.0,0.0,0.0,0.0
4.368777,4.8514776,0d,Cycling,0.0,0.0,0.0,1.0,0.0
4.5031195,10.592054,0d,Cycling,0.0,0.0,1.0,2.0,0.0
2.679092,24.68677,0d,Mesothelial,1.0,1.0,1.0,0.0,0.0
11.750021,7.1031632,0d,Neuron,1.0,1.0,7.0,1.0,1.0
-7.6463127,10.554893,0d,TA,2.0,1.0,0.0,1.0,1.0
2.8542657,23.194962,0d,Mesothelial,0.0,0.0,0.0,0.0,0.0
-2.4859822,14.718541,0d,Colonocyte,2.0,1.0,2.0,1.0,0.0
11.949974,12.055206,0d,Glia,1.0,2.0,3.0,2.0,0.0
0.98805565,9.599565,0d,TA,0.0,0.0,1.0,0.0,0.0
1.4870915,4.650705,0d,Stem,0.0,2.0,0.0,2.0,0.0
4.3574405,9.379031,0d,Cycling,0.0,0.0,1.0,1.0,0.0
5.264649,5.9787407,0d,Cycling,0.0,0.0,0.0,2.0,0.0
6.1279063,21.599533,0d,SMC,2.0,0.0,1.0,0.0,0.0
2.7814047,23.924398,0d,Mesothelial,0.0,1.0,1.0,0.0,0.0
5.490755,5.94275,0d,Cycling,0.0,0.0,2.0,0.0,0.0
-7.9938297,3.7750652,0d,TA,0.0,3.0,1.0,2.0,0.0
10.16172,7.716319,0d,Neuron,0.0,3.0,2.0,1.0,0.0
0.99156123,11.14319,0d,TA,1.0,1.0,0.0,1.0,1.0
-3.4073937,5.703511,0d,TA,1.0,3.0,0.0,2.0,2.0
0.8248095,3.4284213,0d,Stem,1.0,4.0,0.0,1.0,2.0
3.3876393,9.309293,0d,Cycling,0.0,1.0,1.0,1.0,2.0
5.77424,7.014428,0d,Cycling,1.0,1.0,0.0,1.0,0.0
-1.8656133,13.790115,0d,Colonocyte,0.0,0.0,1.0,2.0,5.0
5.056795,14.654271,0d,Fibroblast,0.0,0.0,0.0,0.0,0.0
-1.9531106,24.331736,0d,Vascular,0.0,0.0,1.0,0.0,1.0
2.4009714,6.55672,0d,Stem,0.0,0.0,4.0,0.0,1.0
-2.3828237,14.31562,0d,Colonocyte,2.0,0.0,4.0,1.0,2.0
1.7513143,9.538357,0d,TA,0.0,0.0,2.0,0.0,2.0
10.196209,17.544783,0d,Lymphatic,2.0,4.0,3.0,0.0,0.0
2.7764726,23.183813,0d,Mesothelial,0.0,0.0,1.0,0.0,0.0
-6.859593,4.954374,0d,TA,0.0,1.0,0.0,0.0,2.0
5.4192753,14.840332,0d,Fibroblast,0.0,0.0,3.0,0.0,0.0
5.149978,8.109509,0d,Cycling,0.0,1.0,0.0,1.0,2.0
8.533646,12.0363,0d,Macrophage,2.0,0.0,0.0,0.0,0.0
4.863805,20.230942,0d,SMC,0.0,0.0,0.0,0.0,0.0
3.3824313,9.399908,0d,Cycling,0.0,3.0,0.0,1.0,2.0
-4.1957316,10.926184,0d,Colonocyte,2.0,0.0,14.0,3.0,1.0
4.217107,5.6047506,0d,Cycling,0.0,0.0,0.0,0.0,0.0
5.762997,14.510529,0d,Fibroblast,0.0,0.0,0.0,1.0,0.0
2.6359415,6.3291993,0d,Cycling,0.0,2.0,1.0,2.0,3.0
4.5252695,5.6717563,0d,Cycling,0.0,0.0,0.0,1.0,1.0
11.205866,19.23326,0d,Lymphatic,2.0,2.0,2.0,1.0,0.0
12.826714,6.639536,0d,Neuron,0.0,0.0,6.0,2.0,0.0
4.780493,6.254424,0d,Cycling,0.0,1.0,0.0,0.0,0.0
-8.733956,6.371939,0d,TA,1.0,4.0,5.0,6.0,2.0
2.7520733,23.336832,0d,Mesothelial,0.0,1.0,0.0,0.0,1.0
5.2872324,8.276346,0d,Cycling,0.0,1.0,3.0,0.0,3.0
-4.5568786,2.9784174,0d,TA,0.0,0.0,3.0,3.0,1.0
2.6173525,24.285887,0d,Mesothelial,2.0,12.0,8.0,2.0,4.0
3.9194171,10.477776,0d,Cycling,0.0,1.0,2.0,1.0,2.0
4.8520236,14.440525,0d,Fibroblast,0.0,0.0,1.0,0.0,0.0
1.7765007,5.196267,0d,Stem,2.0,1.0,0.0,3.0,0.0
4.8712926,-2.1338146,0d,Enteroendocrine,1.0,0.0,11.0,0.0,0.0
3.8564725,15.591765,0d,Fibroblast,1.0,0.0,2.0,0.0,0.0
-1.2785378,13.5577545,0d,Colonocyte,0.0,2.0,7.0,0.0,3.0
5.427331,9.981046,0d,Cycling,1.0,0.0,0.0,2.0,0.0
4.8568487,19.977121,0d,SMC,0.0,0.0,1.0,0.0,0.0
0.8075408,3.2004821,0d,Stem,0.0,0.0,2.0,1.0,0.0
0.5349018,9.753146,0d,TA,1.0,3.0,0.0,0.0,0.0
5.462535,8.498933,0d,Cycling,1.0,1.0,4.0,2.0,0.0
-2.3128183,7.1472797,0d,TA,0.0,0.0,2.0,0.0,1.0
