gene,r_vs_epi,r_vs_mye,preference
PICALM,0.134,0.092,mixed / weak
CD2AP,0.113,0.037,EPI-leaning
ADAM10,0.03,0.068,mixed / weak
CR1,0.002,0.027,mixed / weak
APP,-0.016,0.086,mixed / weak
SORL1,0.14,0.066,EPI-leaning
PSEN1,0.093,0.041,mixed / weak
