Gene,Annotation,Median_GSS,PCC
EPS8L2,Colon Tissue,0.0,0.3859689058497062
CLIC1,Colon Tissue,0.0,0.38572472798477025
VDAC3,Colon Tissue,0.0,0.38564766643509396
MXD1,Colon Tissue,0.0,0.38524056861054806
JUP,Colon Tissue,0.0,0.3850382789942742
TXNIP,Colon Tissue,1.76953125,0.3844177513547137
PPP2CA,Colon Tissue,0.0,0.3841307340171854
VASP,Colon Tissue,0.0,0.3840009269025304
FA2H,Colon Tissue,0.0,0.3839372335746172
SECTM1,Colon Tissue,0.0,0.3839098942691681
ATP5PF,Colon Tissue,1.7666015625,0.3838958802873798
HSD17B2,Colon Tissue,0.0,0.38340688438397363
SAT1,Colon Tissue,0.0,0.38299079194210367
CDHR5,Colon Tissue,0.0,0.3828830600892613
SLC25A20,Colon Tissue,0.0,0.38153348730296194
CTNNA1,Colon Tissue,0.0,0.3814592617983697
ACO2,Colon Tissue,1.734375,0.38141859283009905
MAPK13,Colon Tissue,0.0,0.38139138514572035
DSTN,Colon Tissue,1.76953125,0.3809923732801539
PROM1,Colon Tissue,0.0,0.3808044582956026
EPS8,Colon Tissue,0.0,0.38068792628796544
ATP5MGL,Colon Tissue,1.7939453125,0.38031968194617355
ELF3,Colon Tissue,0.0,0.3802920533956384
MICOS10,Colon Tissue,1.7392578125,0.38021993241284874
MAP2K1,Colon Tissue,0.0,0.38011854812440143
UGDH,Colon Tissue,0.0,0.37964943704517073
SMDT1,Colon Tissue,1.734375,0.3795084266123876
CYP2C18,Colon Tissue,1.87109375,0.37756646947579964
COX6C,Colon Tissue,1.7666015625,0.3773267639081353
TPI1,Colon Tissue,1.7392578125,0.37707433267788254
COX5B,Colon Tissue,1.7958984375,0.3762700745124069
CDHR2,Colon Tissue,0.0,0.3758553040210842
TXNDC17,Colon Tissue,0.0,0.37584642487299186
RHOC,Colon Tissue,0.0,0.3756682921925226
ACTG1,Colon Tissue,1.8154296875,0.37552322204937955
ARPC5,Colon Tissue,0.0,0.375301203388502
TUBB4B,Colon Tissue,0.0,0.3752594187540811
CDC42,Colon Tissue,0.0,0.37518095562321535
PRELID1,Colon Tissue,0.0,0.3748291183776803
TST,Colon Tissue,0.0,0.3748158615267106
ATP2B1,Colon Tissue,0.0,0.37434242813857943
NDUFV3,Colon Tissue,1.7529296875,0.3738680387755627
STK25,Colon Tissue,0.0,0.37362832770040744
ARPC2,Colon Tissue,0.0,0.3736168286897384
LGALS4,Colon Tissue,1.8154296875,0.3732983849927568
ATP5MF,Colon Tissue,1.7880859375,0.3731577382605451
NDFIP2,Colon Tissue,0.0,0.3725916415761565
ERBIN,Colon Tissue,0.0,0.372388978627311
CISD1,Colon Tissue,0.0,0.3723212185638647
KRT19,Colon Tissue,1.8291015625,0.37221424074258724
UQCR10,Colon Tissue,1.7587890625,0.3721130992902144
AGPAT2,Colon Tissue,0.0,0.3718423230575626
LIMA1,Colon Tissue,0.0,0.3712631581713246
MALL,Colon Tissue,0.0,0.3712081019467592
H3-5,Colon Tissue,1.763671875,0.3710309714569177
CTSS,Colon Tissue,0.0,0.37086655114014705
