age_group,n_samples,n_spots_total,n_spots_pAD_valid,median_logp,q25_logp,q75_logp,frac_genomewide_sig
Mid (6–18 mo),23.0,222524.0,221202.0,1.1971783039518917,0.5319257559240791,2.0602647610763425,0.0005515320837967106
Old (≥18 mo),62.0,322477.0,319643.0,2.1149742911785507,1.0118313349997003,3.438859883206516,0.008299884558710812
Young (≤6 mo),41.0,264283.0,261598.0,1.1863374696255593,0.3909051558597001,2.4323528621370096,0.0055887277425668395
