umap_1,umap_2,cell_type,PICALM,CD2AP,ADAM10,CR1,APP,SORL1,PSEN1
11.632817,5.7378755,enterocyte of epithelium of small intestine,0.0,1.0,0.0,0.0,3.0,0.0,1.0
9.885917,9.986381,enterocyte of epithelium of small intestine,2.0,2.0,1.0,0.0,1.0,0.0,0.0
-3.534285,3.9614334,enterocyte of epithelium of large intestine,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.7706757,2.280206,intestinal crypt stem cell of colon,0.0,0.0,0.0,0.0,2.0,0.0,0.0
-2.2109663,12.075669,tuft cell of colon,2.0,0.0,0.0,0.0,3.0,2.0,0.0
14.187129,9.80311,enterocyte of epithelium of small intestine,1.0,1.0,0.0,0.0,1.0,3.0,0.0
9.548904,12.562357,enterocyte of epithelium of small intestine,3.0,4.0,0.0,0.0,1.0,8.0,1.0
2.1133215,-4.1351867,colon goblet cell,1.0,0.0,0.0,0.0,4.0,0.0,0.0
3.336285,-4.9986677,colon goblet cell,0.0,3.0,0.0,0.0,2.0,0.0,0.0
-1.3297013,3.3765984,enterocyte of epithelium of large intestine,0.0,0.0,0.0,0.0,2.0,0.0,0.0
10.5673685,8.233087,enterocyte of epithelium of small intestine,2.0,2.0,1.0,0.0,3.0,2.0,2.0
10.714719,6.244855,enterocyte of epithelium of small intestine,1.0,4.0,2.0,0.0,4.0,1.0,0.0
5.8853784,-1.6067803,progenitor cell,2.0,1.0,1.0,0.0,2.0,0.0,0.0
10.001119,2.8903177,enterocyte of epithelium of small intestine,0.0,1.0,1.0,0.0,2.0,0.0,0.0
8.14519,3.8196657,transit amplifying cell of small intestine,0.0,0.0,1.0,0.0,2.0,1.0,0.0
9.669348,6.155316,enterocyte of epithelium of small intestine,2.0,0.0,1.0,0.0,3.0,2.0,0.0
11.653578,3.3105707,enterocyte of epithelium of small intestine,0.0,0.0,2.0,0.0,5.0,0.0,0.0
12.08039,5.3927326,enterocyte of epithelium of small intestine,2.0,0.0,0.0,0.0,2.0,0.0,1.0
13.959952,6.8258553,enterocyte of epithelium of small intestine,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3.2769806,-3.4234514,colon goblet cell,0.0,1.0,1.0,0.0,1.0,0.0,0.0
-0.86413544,12.788546,tuft cell of colon,0.0,0.0,0.0,0.0,5.0,1.0,0.0
11.795436,2.868477,enterocyte of epithelium of small intestine,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.4730685,-5.173006,colon goblet cell,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10.921162,7.321759,enterocyte of epithelium of small intestine,1.0,0.0,0.0,0.0,2.0,0.0,0.0
3.3999958,-3.993748,colon goblet cell,0.0,1.0,0.0,0.0,4.0,1.0,0.0
9.427244,10.61184,enterocyte of epithelium of small intestine,1.0,3.0,2.0,0.0,3.0,1.0,0.0
-0.28730726,4.017114,enterocyte of epithelium of large intestine,0.0,4.0,0.0,0.0,8.0,4.0,2.0
8.755505,12.09437,enterocyte of epithelium of small intestine,2.0,4.0,0.0,0.0,0.0,0.0,0.0
9.556862,13.6700325,enterocyte of epithelium of small intestine,0.0,2.0,0.0,0.0,1.0,1.0,0.0
9.893114,2.6645653,enterocyte of epithelium of small intestine,3.0,3.0,1.0,0.0,11.0,1.0,1.0
2.8250253,-3.6029692,colon goblet cell,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14.31565,7.0120754,enterocyte of epithelium of small intestine,0.0,3.0,1.0,0.0,2.0,4.0,0.0
11.158123,1.105743,intestinal crypt stem cell of small intestine,1.0,0.0,0.0,0.0,3.0,2.0,0.0
-0.76196533,2.3153536,enterocyte of epithelium of large intestine,0.0,0.0,1.0,0.0,1.0,1.0,1.0
8.640656,10.074051,enterocyte of epithelium of small intestine,2.0,1.0,2.0,0.0,0.0,0.0,1.0
10.260854,4.6433244,enterocyte of epithelium of small intestine,0.0,3.0,0.0,0.0,1.0,0.0,0.0
10.583889,8.537021,enterocyte of epithelium of small intestine,1.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.9626499,2.7445424,enterocyte of epithelium of large intestine,1.0,1.0,0.0,0.0,3.0,0.0,0.0
-2.729442,4.2247605,enterocyte of epithelium of large intestine,0.0,1.0,0.0,0.0,5.0,0.0,2.0
3.609623,8.557465,epithelial cell of small intestine,0.0,1.0,1.0,0.0,4.0,3.0,1.0
6.328352,3.4844415,transit amplifying cell of small intestine,2.0,0.0,0.0,0.0,11.0,1.0,1.0
10.053267,5.178438,enterocyte of epithelium of small intestine,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.0486058,4.592572,enterocyte of epithelium of large intestine,3.0,0.0,0.0,0.0,8.0,1.0,0.0
-0.5415665,3.9809945,enterocyte of epithelium of large intestine,0.0,2.0,0.0,0.0,0.0,0.0,0.0
10.263872,0.6235614,intestinal crypt stem cell of small intestine,0.0,1.0,0.0,0.0,5.0,0.0,0.0
5.3582153,7.684368,epithelial cell of small intestine,2.0,0.0,1.0,0.0,2.0,0.0,1.0
-1.6360443,3.9988556,enterocyte of epithelium of large intestine,0.0,1.0,0.0,0.0,5.0,1.0,0.0
11.4426155,6.217551,enterocyte of epithelium of small intestine,0.0,2.0,1.0,0.0,3.0,2.0,1.0
-0.87900925,4.311389,enterocyte of epithelium of large intestine,1.0,1.0,0.0,0.0,1.0,1.0,1.0
3.623262,-4.2652392,colon goblet cell,1.0,2.0,2.0,0.0,2.0,1.0,0.0
10.649964,2.7737706,enterocyte of epithelium of small intestine,2.0,2.0,0.0,0.0,3.0,0.0,0.0
14.13295,6.837328,enterocyte of epithelium of small intestine,0.0,1.0,1.0,0.0,2.0,3.0,2.0
0.22886752,2.062012,transit amplifying cell of colon,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5.8451114,-1.7112399,progenitor cell,2.0,0.0,0.0,0.0,5.0,0.0,0.0
-0.7967859,12.161858,tuft cell of colon,1.0,0.0,0.0,0.0,2.0,0.0,0.0
